date,CPI
09/1990,57.5
12/1990,59
03/1991,58.9
06/1991,59
09/1991,59.3
12/1991,59.9
03/1992,59.9
06/1992,59.7
09/1992,59.8
12/1992,60.1
03/1993,60.6
06/1993,60.8
09/1993,61.1
12/1993,61.2
03/1994,61.5
06/1994,61.9
09/1994,62.3
12/1994,62.8
03/1995,63.8
06/1995,64.7
09/1995,65.5
12/1995,66
03/1996,66.2
06/1996,66.7
09/1996,66.9
12/1996,67
03/1997,67.1
06/1997,66.9
09/1997,66.6
12/1997,66.8
03/1998,67
06/1998,67.4
09/1998,67.5
12/1998,67.8
03/1999,67.8
06/1999,68.1
09/1999,68.7
12/1999,69.1
03/2000,69.7
06/2000,70.2
09/2000,72.9
12/2000,73.1
03/2001,73.9
06/2001,74.5
09/2001,74.7
12/2001,75.4
03/2002,76.1
06/2002,76.6
09/2002,77.1
12/2002,77.6
03/2003,78.6
06/2003,78.6
09/2003,79.1
12/2003,79.5
03/2004,80.2
06/2004,80.6
09/2004,80.9
12/2004,81.5
03/2005,82.1
06/2005,82.6
09/2005,83.4
12/2005,83.8
03/2006,84.5
06/2006,85.9
09/2006,86.7
12/2006,86.6
03/2007,86.6
06/2007,87.7
09/2007,88.3
12/2007,89.1
03/2008,90.3
06/2008,91.6
09/2008,92.7
12/2008,92.4
03/2009,92.5
06/2009,92.9
09/2009,93.8
12/2009,94.3
03/2010,95.2
06/2010,95.8
09/2010,96.5
12/2010,96.9
03/2011,98.3
06/2011,99.2
09/2011,99.8
12/2011,99.8
03/2012,99.9
06/2012,100.4
09/2012,101.8
12/2012,102
03/2013,102.4
06/2013,102.8
09/2013,104
12/2013,104.8
03/2014,105.4
06/2014,105.9
09/2014,106.4
12/2014,106.6
03/2015,106.8
06/2015,107.5
09/2015,108
12/2015,108.4
03/2016,108.2
06/2016,108.6
09/2016,109.4
12/2016,110
03/2017,110.5
06/2017,110.7
09/2017,111.4
12/2017,112.1
03/2018,112.6
06/2018,113
09/2018,113.5
12/2018,114.1
03/2019,114.1
06/2019,114.8
09/2019,115.4
12/2019,116.2
03/2020,116.6
06/2020,114.4
09/2020,116.2
12/2020,117.2
