date,CR
09/1990,14
10/1990,13.43
11/1990,13
12/1990,12.58
01/1991,12
02/1991,12
03/1991,12
04/1991,11.55
05/1991,10.98
06/1991,10.5
07/1991,10.5
08/1991,10.5
09/1991,9.55
10/1991,9.5
11/1991,8.64
12/1991,8.5
01/1992,7.69
02/1992,7.5
03/1992,7.5
04/1992,7.5
05/1992,6.64
06/1992,6.5
07/1992,5.91
08/1992,5.75
09/1992,5.75
10/1992,5.75
11/1992,5.75
12/1992,5.75
01/1993,5.75
02/1993,5.75
03/1993,5.6
04/1993,5.25
05/1993,5.25
06/1993,5.25
07/1993,5.23
08/1993,4.75
09/1993,4.75
10/1993,4.75
11/1993,4.75
12/1993,4.75
01/1994,4.75
02/1994,4.75
03/1994,4.75
04/1994,4.75
05/1994,4.75
06/1994,4.75
07/1994,4.75
08/1994,5.11
09/1994,5.5
10/1994,5.79
11/1994,6.5
12/1994,7.05
01/1995,7.5
02/1995,7.5
03/1995,7.5
04/1995,7.5
05/1995,7.5
06/1995,7.5
07/1995,7.5
08/1995,7.5
09/1995,7.5
10/1995,7.5
11/1995,7.5
12/1995,7.5
01/1996,7.5
02/1996,7.5
03/1996,7.5
04/1996,7.5
05/1996,7.5
06/1996,7.5
07/1996,7.48
08/1996,7
09/1996,7
10/1996,7
11/1996,6.57
12/1996,6.18
01/1997,6
02/1997,6
03/1997,6
04/1997,6
05/1997,5.86
06/1997,5.5
07/1997,5.46
08/1997,5
09/1997,5
10/1997,5
11/1997,5
12/1997,5
01/1998,5
02/1998,5
03/1998,5
04/1998,5
05/1998,5
06/1998,5
07/1998,5
08/1998,5
09/1998,5
10/1998,5
11/1998,5
12/1998,4.76
01/1999,4.75
02/1999,4.75
03/1999,4.75
04/1999,4.75
05/1999,4.75
06/1999,4.75
07/1999,4.75
08/1999,4.75
09/1999,4.75
10/1999,4.75
11/1999,4.98
12/1999,5
01/2000,5
02/2000,5.48
03/2000,5.5
04/2000,5.72
05/2000,5.98
06/2000,6
07/2000,6
08/2000,6.24
09/2000,6.25
10/2000,6.25
11/2000,6.25
12/2000,6.25
01/2001,6.25
02/2001,5.85
03/2001,5.55
04/2001,5.06
05/2001,5
06/2001,5
07/2001,5
08/2001,5
09/2001,4.78
10/2001,4.52
11/2001,4.5
12/2001,4.28
01/2002,4.25
02/2002,4.25
03/2002,4.25
04/2002,4.25
05/2002,4.45
06/2002,4.72
07/2002,4.75
08/2002,4.75
09/2002,4.75
10/2002,4.75
11/2002,4.75
12/2002,4.75
01/2003,4.75
02/2003,4.75
03/2003,4.75
04/2003,4.75
05/2003,4.75
06/2003,4.75
07/2003,4.75
08/2003,4.75
09/2003,4.75
10/2003,4.75
11/2003,4.98
12/2003,5.23
01/2004,5.25
02/2004,5.25
03/2004,5.25
04/2004,5.25
05/2004,5.25
06/2004,5.25
07/2004,5.25
08/2004,5.25
09/2004,5.25
10/2004,5.25
11/2004,5.25
12/2004,5.25
01/2005,5.25
02/2005,5.25
03/2005,5.49
04/2005,5.5
05/2005,5.5
06/2005,5.5
07/2005,5.5
08/2005,5.5
09/2005,5.5
10/2005,5.5
11/2005,5.5
12/2005,5.5
01/2006,5.5
02/2006,5.5
03/2006,5.5
04/2006,5.5
05/2006,5.73
06/2006,5.75
07/2006,5.75
08/2006,5.99
09/2006,6
10/2006,6
11/2006,6.19
12/2006,6.25
01/2007,6.25
02/2007,6.25
03/2007,6.25
04/2007,6.25
05/2007,6.25
06/2007,6.25
07/2007,6.25
08/2007,6.45
09/2007,6.5
10/2007,6.5
11/2007,6.7
12/2007,6.75
01/2008,6.75
02/2008,6.96
03/2008,7.22
04/2008,7.25
05/2008,7.25
06/2008,7.25
07/2008,7.25
08/2008,7.25
09/2008,7.02
10/2008,6.18
11/2008,5.33
12/2008,4.35
01/2009,4.25
02/2009,3.35
03/2009,3.25
04/2009,3.06
05/2009,3
06/2009,3
07/2009,3
08/2009,3
09/2009,3
10/2009,3.21
11/2009,3.48
12/2009,3.74
01/2010,3.75
02/2010,3.75
03/2010,3.98
04/2010,4.22
05/2010,4.48
06/2010,4.5
07/2010,4.5
08/2010,4.5
09/2010,4.5
10/2010,4.5
11/2010,4.73
12/2010,4.75
01/2011,4.75
02/2011,4.75
03/2011,4.75
04/2011,4.75
05/2011,4.75
06/2011,4.75
07/2011,4.75
08/2011,4.75
09/2011,4.75
10/2011,4.75
11/2011,4.51
12/2011,4.3
01/2012,4.25
02/2012,4.25
03/2012,4.25
04/2012,4.25
05/2012,3.77
06/2012,3.54
07/2012,3.5
08/2012,3.5
09/2012,3.5
10/2012,3.27
11/2012,3.25
12/2012,3.03
01/2013,3
02/2013,3
03/2013,3
04/2013,3
05/2013,2.8
06/2013,2.75
07/2013,2.75
08/2013,2.55
09/2013,2.5
10/2013,2.5
11/2013,2.5
12/2013,2.5
01/2014,2.5
02/2014,2.5
03/2014,2.5
04/2014,2.5
05/2014,2.5
06/2014,2.5
07/2014,2.5
08/2014,2.5
09/2014,2.5
10/2014,2.5
11/2014,2.5
12/2014,2.5
01/2015,2.5
02/2015,2.28
03/2015,2.25
04/2015,2.25
05/2015,2.04
06/2015,2
07/2015,2
08/2015,2
09/2015,2
10/2015,2
11/2015,2
12/2015,2
01/2016,2
02/2016,2
03/2016,2
04/2016,2
05/2016,1.77
06/2016,1.75
07/2016,1.75
08/2016,1.52
09/2016,1.5
10/2016,1.5
11/2016,1.5
12/2016,1.5
01/2017,1.5
02/2017,1.5
03/2017,1.5
04/2017,1.5
05/2017,1.5
06/2017,1.5
07/2017,1.5
08/2017,1.5
09/2017,1.5
10/2017,1.5
11/2017,1.5
12/2017,1.5
01/2018,1.5
02/2018,1.5
03/2018,1.5
04/2018,1.5
05/2018,1.5
06/2018,1.5
07/2018,1.5
08/2018,1.5
09/2018,1.5
10/2018,1.5
11/2018,1.5
12/2018,1.5
01/2019,1.5
02/2019,1.5
03/2019,1.5
04/2019,1.5
05/2019,1.5
06/2019,1.28
07/2019,1.02
08/2019,1
09/2019,1
10/2019,0.76
11/2019,0.75
12/2019,0.75
01/2020,0.75
02/2020,0.75
03/2020,0.43
04/2020,0.25
05/2020,0.25
06/2020,0.25
07/2020,0.25
08/2020,0.25
09/2020,0.25
10/2020,0.25
11/2020,0.11
12/2020,0.1
