date,EXP
09/1990,28052
12/1990,28496
03/1991,29718
06/1991,31200
09/1991,31900
12/1991,32014
03/1992,31783
06/1992,32875
09/1992,33513
12/1992,34524
03/1993,34684
06/1993,35379
09/1993,36529
12/1993,37262
03/1994,38370
06/1994,39043
09/1994,38728
12/1994,39133
03/1995,40151
06/1995,39864
09/1995,41933
12/1995,41991
03/1996,44323
06/1996,45354
09/1996,44808
12/1996,46316
03/1997,47886
06/1997,53485
09/1997,51025
12/1997,50029
03/1998,49307
06/1998,50949
09/1998,50787
12/1998,51827
03/1999,50990
06/1999,51561
09/1999,53640
12/1999,56264
03/2000,57161
06/2000,58396
09/2000,61648
12/2000,59873
03/2001,61304
06/2001,62121
09/2001,61284
12/2001,59539
03/2002,61118
06/2002,61661
09/2002,61410
12/2002,61969
03/2003,62092
06/2003,59345
09/2003,60059
12/2003,61921
03/2004,62200
06/2004,63793
09/2004,62975
12/2004,63462
03/2005,65057
06/2005,65056
09/2005,64533
12/2005,66317
03/2006,66139
06/2006,67184
09/2006,67890
12/2006,68640
03/2007,69093
06/2007,69491
09/2007,70225
12/2007,70235
03/2008,72262
06/2008,73421
09/2008,73256
12/2008,72378
03/2009,74551
06/2009,72839
09/2009,74093
12/2009,75626
03/2010,78015
06/2010,79057
09/2010,77701
12/2010,79322
03/2011,75254
06/2011,77152
09/2011,79661
12/2011,81577
03/2012,79543
06/2012,82892
09/2012,83706
12/2012,84485
03/2013,84387
06/2013,88259
09/2013,87981
12/2013,89257
03/2014,91734
06/2014,92156
09/2014,94172
12/2014,96106
03/2015,99412
06/2015,96107
09/2015,101098
12/2015,101994
03/2016,104037
06/2016,105058
09/2016,106690
12/2016,110289
03/2017,107690
06/2017,110209
09/2017,112581
12/2017,110221
03/2018,114555
06/2018,115437
09/2018,116962
12/2018,116289
03/2019,117730
06/2019,119828
09/2019,121027
12/2019,120003
03/2020,115022
06/2020,106304
09/2020,102080
12/2020,106009
