date,GOV
09/1990,3495
12/1990,3824
03/1991,4039
06/1991,4011
09/1991,4265
12/1991,4101
03/1992,3867
06/1992,3854
09/1992,4019
12/1992,4144
03/1993,4122
06/1993,4130
09/1993,4014
12/1993,4034
03/1994,4253
06/1994,4345
09/1994,4048
12/1994,3929
03/1995,3941
06/1995,4230
09/1995,3920
12/1995,4178
03/1996,4163
06/1996,4187
09/1996,4268
12/1996,4217
03/1997,4091
06/1997,3991
09/1997,4137
12/1997,4069
03/1998,4252
06/1998,4306
09/1998,4357
12/1998,4532
03/1999,4154
06/1999,4161
09/1999,4051
12/1999,4315
03/2000,4465
06/2000,4506
09/2000,4495
12/2000,4165
03/2001,4557
06/2001,5343
09/2001,5000
12/2001,5172
03/2002,4960
06/2002,4987
09/2002,5201
12/2002,5477
03/2003,5633
06/2003,5466
09/2003,5528
12/2003,5524
03/2004,5473
06/2004,5409
09/2004,5392
12/2004,5365
03/2005,5296
06/2005,5385
09/2005,5450
12/2005,5695
03/2006,5563
06/2006,5612
09/2006,5701
12/2006,5810
03/2007,5955
06/2007,5936
09/2007,5732
12/2007,5845
03/2008,6118
06/2008,5853
09/2008,6094
12/2008,6134
03/2009,6062
06/2009,6149
09/2009,6246
12/2009,6257
03/2010,6335
06/2010,6749
09/2010,6273
12/2010,6255
03/2011,6290
06/2011,6391
09/2011,6327
12/2011,6497
03/2012,6542
06/2012,6762
09/2012,6573
12/2012,6638
03/2013,6420
06/2013,6436
09/2013,6264
12/2013,6465
03/2014,6669
06/2014,6864
09/2014,6818
12/2014,6962
03/2015,7072
06/2015,7036
09/2015,7358
12/2015,7472
03/2016,7784
06/2016,7853
09/2016,7780
12/2016,7657
03/2017,7875
06/2017,7700
09/2017,7792
12/2017,7991
03/2018,8021
06/2018,8104
09/2018,8179
12/2018,8392
03/2019,8313
06/2019,8570
09/2019,8913
12/2019,8971
03/2020,9033
06/2020,9527
09/2020,9311
12/2020,8988
