date,RTWI
09/1990,120.92
12/1990,113.45
03/1991,113.93
06/1991,117.06
09/1991,118.6
12/1991,115.43
03/1992,110.28
06/1992,111.08
09/1992,103.79
12/1992,101.2
03/1993,100.87
06/1993,98.29
09/1993,94.41
12/1993,94.53
03/1994,101.75
06/1994,101.96
09/1994,101.3
12/1994,102.61
03/1995,100
06/1995,92.98
09/1995,97.97
12/1995,100.87
03/1996,103.1
06/1996,108.52
09/1996,108.2
12/1996,109.94
03/1997,111.03
06/1997,110.17
09/1997,107.47
12/1997,107.84
03/1998,111.4
06/1998,105.54
09/1998,101.88
12/1998,98.98
03/1999,101.15
06/1999,106.07
09/1999,105.19
12/1999,102.73
03/2000,102.35
06/2000,97.42
09/2000,96.96
12/2000,92.26
03/2001,93.63
06/2001,93.22
09/2001,93.06
12/2001,93.94
03/2002,97.05
06/2002,100.63
09/2002,97.41
12/2002,99.76
03/2003,103.62
06/2003,110.48
09/2003,113.55
12/2003,120.05
03/2004,125.92
06/2004,119.89
09/2004,118.78
12/2004,123.6
03/2005,125.55
06/2005,126.26
09/2005,127.29
12/2005,126.55
03/2006,124.88
06/2006,124.95
09/2006,126.98
12/2006,128.34
03/2007,130.12
06/2007,136.39
09/2007,138.05
12/2007,142.13
03/2008,141.73
06/2008,146.77
09/2008,142.16
12/2008,113.95
03/2009,115.03
06/2009,129.09
09/2009,138
12/2009,147.46
03/2010,148.69
06/2010,147.44
09/2010,148.12
12/2010,156.74
03/2011,158.61
06/2011,164.66
09/2011,161.07
12/2011,159.11
03/2012,165.41
06/2012,160.34
09/2012,165.4
12/2012,163.85
03/2013,166.79
06/2013,162.01
09/2013,151.27
12/2013,152.67
03/2014,148.63
06/2014,154.28
09/2014,153.62
12/2014,147.21
03/2015,139.87
06/2015,139.16
09/2015,132.93
12/2015,133.39
03/2016,134.42
06/2016,136.24
09/2016,138.22
12/2016,140.53
03/2017,143.2
06/2017,140.09
09/2017,144.32
12/2017,140.33
03/2018,139.35
06/2018,135.75
09/2018,136.03
12/2018,135.03
03/2019,132
06/2019,130.95
09/2019,129.56
12/2019,129.15
03/2020,125.01
06/2020,126.02
09/2020,134.05
12/2020,133.53
