DATE,US-CPI
1990-07-01,55.4953160884
1990-10-01,56.4375832395
1991-01-01,56.8594939041
1991-04-01,57.1970224358
1991-07-01,57.6329967893
1991-10-01,58.1111622092
1992-01-01,58.5049454962
1992-04-01,58.9549835385
1992-07-01,59.4050215807
1992-10-01,59.9253780671
1993-01-01,60.3613524206
1993-04-01,60.797326774
1993-07-01,61.0786005505
1993-10-01,61.584893348
1994-01-01,61.8942945021
1994-04-01,62.2458867226
1994-07-01,62.8224979643
1994-10-01,63.1881538736
1995-01-01,63.6522556047
1995-04-01,64.1726120911
1995-07-01,64.496076934
1995-10-01,64.8476691545
1996-01-01,65.4242803962
1996-04-01,65.9868279491
1996-07-01,66.3665475472
1996-10-01,66.9431587889
1997-01-01,67.3510057647
1997-04-01,67.5057063417
1997-07-01,67.8432348734
1997-10-01,68.2088907828
1998-01-01,68.349527671
1998-04-01,68.5745466922
1998-07-01,68.9261389127
1998-10-01,69.2496037556
1999-01-01,69.5027501543
1999-04-01,70.0231066407
1999-07-01,70.5434631271
1999-10-01,71.0638196135
2000-01-01,71.7670040546
2000-04-01,72.3295516074
2000-07-01,72.990544982
2000-10-01,73.5109014684
2001-01-01,74.2140859094
2001-04-01,74.7344423958
2001-07-01,74.9453977282
2001-10-01,74.8891429729
2002-01-01,75.1282256828
2002-04-01,75.7189006133
2002-07-01,76.1267475891
2002-10-01,76.5767856314
2003-01-01,77.3643522054
2003-04-01,77.237779006
2003-07-01,77.8143902477
2003-10-01,78.1097277129
2004-01-01,78.7707210875
2004-04-01,79.3895233956
2004-07-01,79.8958161932
2004-10-01,80.7537012113
2005-01-01,81.1615481871
2005-04-01,81.7100320511
2005-07-01,82.9476366674
2005-10-01,83.7211395526
2006-01-01,84.157113906
2006-04-01,84.9165531024
2006-07-01,85.7181833652
2006-10-01,85.3665911447
2007-01-01,86.2035212664
2007-04-01,87.1798225444
2007-07-01,87.7316816937
2007-10-01,88.8078351623
2008-01-01,89.7697914777
2008-04-01,90.9376401974
2008-07-01,92.3397899729
2008-10-01,90.2250330848
2009-01-01,89.6044024971
2009-04-01,90.0808802744
2009-07-01,90.8559301653
2009-10-01,91.5672715459
2010-01-01,91.7124088146
2010-04-01,91.6800623303
2010-07-01,91.9488194236
2010-10-01,92.6933511098
2011-01-01,93.6825909815
2011-04-01,94.7477747728
2011-07-01,95.3655926228
2011-10-01,95.7936913105
2012-01-01,96.3331744136
2012-04-01,96.536535354
2012-07-01,96.9723690706
2012-10-01,97.617189203
2013-01-01,98.0095661211
2013-04-01,97.9022601754
2013-07-01,98.4317580595
2013-10-01,98.7957263262
2014-01-01,99.4110127122
2014-04-01,99.9389635905
2014-07-01,100.1946414533
2014-10-01,99.9457141612
2015-01-01,99.2987844754
2015-04-01,99.9759510921
2015-07-01,100.353561137
2015-10-01,100.345966745
2016-01-01,100.2836646035
2016-04-01,101.085716777
2016-07-01,101.5147999229
2016-10-01,102.1591981447
2017-01-01,102.8418496001
2017-04-01,103.0250994654
2017-07-01,103.513812652
2017-10-01,104.3203652059
2018-01-01,105.1314181402
2018-04-01,105.7888955926
2018-07-01,106.2178381016
2018-10-01,106.6328575587
2019-01-01,106.8217328996
2019-04-01,107.7447327969
2019-07-01,108.0899963575
2019-10-01,108.7937433461
2020-01-01,109.0639068084
2020-04-01,108.2082719805
2020-07-01,109.4526271674
2020-10-01,110.1115109887
